epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,2540.13,1.22939,0.5122,0.81082,0.97461,0.97479,0.99227,0.67914,0.97736,0.44502,0.8102,0.0012278,0.0012278,0.0012278
119,2561.44,1.27253,0.51146,0.80602,0.97754,0.94958,0.99176,0.70278,0.8901,0.42093,0.80928,0.0012212,0.0012212,0.0012212
120,2582.74,1.24226,0.52594,0.7964,1,0.98025,0.99349,0.70765,0.93875,0.40684,0.81008,0.0012146,0.0012146,0.0012146
121,2604.07,1.23503,0.49703,0.79227,0.99149,0.97943,0.9942,0.70955,0.95943,0.42456,0.81182,0.001208,0.001208,0.001208
122,2625.62,1.19297,0.49144,0.80277,0.99149,0.97921,0.99419,0.71013,0.93673,0.42397,0.80989,0.0012014,0.0012014,0.0012014
123,2647.03,1.20843,0.4833,0.79362,0.98005,0.98319,0.99334,0.69067,0.8875,0.3922,0.80665,0.0011948,0.0011948,0.0011948
124,2668.41,1.22292,0.52315,0.797,0.97451,0.98319,0.99348,0.70396,0.91061,0.42685,0.80829,0.0011882,0.0011882,0.0011882
125,2689.67,1.25892,0.55142,0.79796,0.90931,0.96639,0.92953,0.64028,0.89198,0.48353,0.80449,0.0011816,0.0011816,0.0011816
126,2711.06,1.26617,0.51745,0.80387,0.96543,0.98319,0.99359,0.69933,0.9075,0.43176,0.80758,0.001175,0.001175,0.001175
127,2732.57,1.17632,0.47778,0.78391,0.99123,0.95031,0.99266,0.69006,0.93137,0.42844,0.81234,0.0011684,0.0011684,0.0011684
128,2753.92,1.18632,0.49504,0.78702,0.99141,0.96962,0.99389,0.70833,0.93229,0.4363,0.81633,0.0011618,0.0011618,0.0011618
129,2775.29,1.18066,0.47853,0.79353,0.99132,0.96006,0.99417,0.72018,0.90395,0.39679,0.81014,0.0011552,0.0011552,0.0011552
130,2796.63,1.22167,0.48942,0.80342,0.99151,0.98149,0.9945,0.69295,0.92317,0.4045,0.80928,0.0011486,0.0011486,0.0011486
131,2818.12,1.21976,0.50602,0.79848,1,0.97349,0.99404,0.69207,0.91854,0.43552,0.80768,0.001142,0.001142,0.001142
132,2839.36,1.21554,0.4957,0.79599,0.99141,0.97029,0.99374,0.7111,0.90417,0.4223,0.8142,0.0011354,0.0011354,0.0011354
133,2860.74,1.16668,0.48668,0.78335,0.9832,0.96639,0.98751,0.70031,0.83717,0.43921,0.80357,0.0011288,0.0011288,0.0011288
134,2882.1,1.14779,0.49624,0.79031,0.99862,0.98319,0.99437,0.6891,0.92335,0.41941,0.80902,0.0011222,0.0011222,0.0011222
